,today+0,today+1,today+2,today+3,today+4,today+5,today+6
2021-01-07,18,22,18,18,23,26,27
2020-12-28,21,17,22,25,27,27,19
2020-11-23,17,24,21,23,23,19,18
2020-11-03,24,19,26,29,19,18,19
2020-12-25,16,25,26,20,21,19,17
2020-11-21,24,25,19,21,18,16,17
2020-12-03,25,19,21,18,16,17,22
2021-01-11,19,21,18,16,17,22,25
2020-12-27,20,15,17,19,22,25,23
2020-10-29,15,16,19,20,23,21,18
2020-11-09,16,18,18,18,21,16,16
2020-12-10,17,19,19,20,16,15,18
2020-11-26,18,20,23,16,14,17,20
2020-12-13,20,23,16,14,17,20,19
2020-10-22,23,16,14,17,20,19,20
2020-12-09,16,14,17,20,19,20,18
2020-11-16,13,17,18,19,20,18,19
2020-10-15,17,17,18,19,18,18,19
2021-01-02,18,19,19,18,17,20,23
2021-01-12,20,21,20,18,19,24,27
2020-12-11,21,20,18,19,26,28,21
2020-10-30,20,18,19,26,28,21,16
2021-01-08,18,18,25,29,24,15,17
2020-11-04,18,25,29,24,15,17,16
2020-10-16,25,29,24,15,17,16,15
2020-12-20,25,29,24,15,18,15,18
2020-10-21,30,23,15,16,14,18,23
2020-10-25,23,15,16,15,20,25,28
2020-10-28,15,16,15,20,26,28,24
2020-12-31,16,15,20,26,28,25,20
2020-11-27,15,20,26,30,25,20,18
2020-11-07,20,26,30,28,23,20,18
2020-11-18,28,30,29,23,19,19,28
2020-12-29,30,29,23,19,19,27,19
2020-12-17,28,23,19,19,31,20,20
2020-12-21,24,20,19,31,20,19,23
2020-11-17,21,20,33,23,19,23,31
2020-11-11,21,33,23,20,25,31,19
2020-10-31,33,23,20,26,32,21,22
2020-11-05,23,20,27,33,18,23,22
2020-11-14,20,27,33,18,23,25,22
2020-11-02,28,33,21,23,25,22,20
2020-12-06,34,21,26,26,20,20,29
2020-12-12,21,26,26,20,20,29,31
2020-11-15,26,30,20,20,29,29,31
2020-12-14,29,20,21,29,24,27,23
2020-11-28,20,20,29,22,31,34,23
2020-10-13,20,30,21,32,27,22,22
2020-12-18,30,21,31,26,22,23,23
2020-12-24,20,33,26,20,25,30,19
2021-01-01,34,28,20,25,29,19,22
2020-10-27,25,19,25,28,19,22,23
2020-10-08,19,26,28,19,22,23,29
2021-01-05,25,28,19,22,23,26,24
2020-11-06,27,19,22,24,24,20,20
2020-11-25,19,23,24,30,18,17,19
2020-10-23,23,24,28,20,19,18,21
2020-12-04,23,26,20,19,18,22,22
2020-12-07,28,20,19,19,22,22,23
2020-10-18,20,18,18,23,21,23,27
2020-10-14,18,18,24,18,21,27,32
2020-12-16,18,25,18,22,27,29,32
2020-11-08,25,18,23,27,29,31,33
2020-10-24,18,21,28,30,33,33,22
2020-12-26,23,27,30,32,33,22,23
2020-11-19,29,30,32,32,24,25,20
2020-10-17,30,32,30,23,26,22,23
2020-10-10,34,31,23,23,19,19,23
2020-10-20,30,24,26,18,21,22,23
2020-11-01,26,28,19,21,22,22,19
2020-12-08,27,19,20,22,27,20,21
2020-10-11,19,20,21,24,21,21,23
2020-12-02,20,20,24,21,22,22,21
2020-10-19,20,25,19,20,21,21,27
2020-12-22,23,18,20,20,21,28,27
2020-10-26,18,20,20,21,28,27,20
2020-11-24,20,19,21,30,29,19,23
2020-12-23,19,20,27,30,19,21,24
2021-01-09,20,27,31,19,22,24,24
2020-10-12,27,33,19,22,23,24,27
2020-12-19,34,18,22,23,25,27,28
2020-12-15,18,22,24,25,28,27,26
2020-11-12,22,23,23,27,26,26,23
2020-11-13,23,22,28,27,25,24,23
2020-11-10,23,27,27,25,23,24,21
2020-10-09,26,26,25,22,22,21,27
2020-12-05,27,24,21,22,21,27,29
2020-11-30,24,21,21,20,27,29,31
2020-11-29,19,21,20,26,27,27,25
2021-01-03,20,20,25,26,26,28,35
2020-11-22,19,25,26,27,29,35,27
2020-12-30,26,25,26,30,37,27,31
2021-01-10,26,28,30,37,24,32,23
2021-01-04,27,32,37,23,31,22,21
2020-12-01,32,37,23,31,22,21,19
2020-11-20,38,23,34,21,21,19,22
2021-01-06,22,33,21,20,21,22,21
